Ticker Symbol,SPY,SPY,SPY,SPY,SPY,AAL,AAL,AAL,AAL,AAL,ZM,ZM,ZM,ZM,ZM,NFLX,NFLX,NFLX,NFLX,NFLX
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2022-04-13,434.353,440.382,434.165,439.59,74697322.294722,17.88,18.99,17.86,18.95,90231903,106.3,115.825,105.16,114.89,4677812.0,343.92,352.0,341.155,350.43,3230950
2022-04-12,439.362,442.009,432.985,434.611,85077684.797374,17.13,17.16,16.69,17.13,31461618,111.69,114.7,106.24,106.58,3249599.0,355.91,359.41,342.25,344.1,3824261
2022-04-11,440.382,441.265,435.703,436.228,90530351.56741,16.5,17.23,16.41,16.97,24886185,107.91,111.11,106.4123,109.05,3902782.0,350.0,354.78,345.2,348.0,3777096
2022-04-08,444.211,446.848,442.197,443.813,79943671.458577,16.87,17.02,16.57,16.59,22627656,112.37,113.27,109.3876,110.9,3953271.0,361.96,362.5,354.865,355.88,4025183
2022-04-07,441.85,446.908,439.808,445.003,78758225.107833,17.14,17.2501,16.37,16.95,42285211,115.14,118.12,111.33,114.32,3498047.0,365.0,368.54,353.6897,362.15,4948909
2022-04-06,443.139,445.162,439.748,442.773,107802749.3379,17.26,17.67,16.83,17.38,40217774,118.03,118.56,113.34,116.09,5161483.0,374.15,376.4699,362.73,368.35,4354885
2022-04-05,451.399,453.987,446.045,447.244,74842649.009522,18.35,18.57,17.58,17.84,35187256,123.92,126.44,120.43,122.02,4906459.0,389.3,390.0,377.305,380.15,4234508
2022-04-04,449.327,453.075,448.464,452.967,60105460.031544,18.16,18.37,17.72,18.23,23095438,119.39,124.99,118.33,124.28,3081278.0,373.55,396.02,373.13,391.5,7009235
2022-04-01,449.506,449.654,445.371,449.118,89802477.582751,18.3,18.395,18.065,18.24,25182733,117.56,120.496,116.11,118.02,2793292.0,376.8,380.87,368.5,373.47,4644237
2022-03-31,454.047,454.91,447.374,447.85,122730010.57625,18.16,18.45,17.98,18.25,33338167,122.75,122.81,117.16,117.23,2903091.0,383.59,384.0,373.61,374.59,4134720
2022-03-30,456.476,457.325,452.634,454.85,80341239.211026,17.92,18.25,17.775,18.05,28866381,124.26,127.37,121.23,122.39,3987789.0,389.55,392.7,378.625,381.47,4023301
2022-03-29,456.159,458.192,453.343,457.676,87314364.056819,17.885,18.43,17.86,18.16,58105513,119.9765,126.53,119.9765,126.26,4757130.0,384.39,396.5,380.33,391.82,5880723
2022-03-28,448.266,452.083,446.283,452.083,69109799.691105,17.27,17.38,16.82,17.3,29985345,114.87,118.31,113.63,117.45,3289344.0,375.23,380.28,366.73,378.51,4323435
2022-03-25,447.374,449.178,444.667,448.89,77753905.942202,16.75,17.44,16.74,17.01,39510274,117.13,117.58,112.45,113.93,4217677.0,377.07,377.64,366.43,373.85,3575953
2022-03-24,442.197,446.719,441.027,446.709,65284821.977356,16.31,16.76,16.1,16.72,33893987,117.35,117.78,113.97,117.75,3332021.0,379.76,379.76,368.9,375.71,3888461
2022-03-23,443.159,444.726,439.986,440.076,80098356.718855,16.31,16.46,16.17,16.21,31335959,117.215,120.27,115.95,116.81,3443344.0,379.77,382.46,374.49,374.49,3728954
2022-03-22,442.118,446.798,442.118,445.817,75282231.387158,16.21,16.76,16.085,16.56,40143350,116.01,122.24,115.4,119.8,5003148.0,371.14,386.66,366.76,382.92,4242762
2022-03-21,440.61,442.713,436.981,440.66,89097551.195331,16.5,16.54,15.9,16.09,45852566,115.01,119.89,113.35,116.87,5941501.0,378.02,381.82,368.94,374.59,4866463
2022-03-18,434.324,441.126,433.551,440.789,107245647.63049,16.35,16.84,16.16,16.75,39040227,109.49,117.8399,109.21,116.28,8521832.0,372.0,381.8,368.47,380.6,8324825
2022-03-17,428.612,436.009,428.216,436.009,103868546.91039,16.06,16.565,15.89,16.55,41996252,106.46,111.33,105.0,111.29,4967538.0,359.7,373.31,354.88,371.4,5818348
2022-03-16,424.953,430.684,419.926,430.626,146637162.2741,15.845,16.49,15.53,16.47,66907415,100.55,106.88,100.17,106.84,8003038.0,348.2,359.99,343.06,357.53,6982469
2022-03-15,414.958,421.938,413.62,421.284,107451904.72883,14.91,15.8,14.9,15.57,76398350,96.09,100.595,95.26,98.97,7001747.0,335.1,345.36,332.36,343.75,5460640
2022-03-14,416.059,419.678,411.021,412.211,96840228.832475,14.02,14.83,13.7,14.25,53284254,97.5,102.16,94.51,94.64,6715662.0,338.72,341.32,329.82,331.01,5907817
2022-03-11,423.208,423.852,414.72,415.255,96746239.992104,14.4,14.56,13.9,14.02,48409529,103.48,103.49,97.9,98.12,6454629.0,361.19,363.36,340.0,340.32,4819925
2022-03-10,417.675,421.542,415.612,420.6,95063309.297428,13.82,14.44,13.46,14.2,56571682,105.835,106.9,101.055,103.33,5030777.0,356.2,367.02,353.3,356.77,4807767
2022-03-09,420.263,424.586,417.973,422.504,118348569.51277,14.44,14.75,14.05,14.3,88884229,111.84,111.84,108.06,109.08,6427507.0,357.685,364.14,350.5089,358.79,6520186
2022-03-08,414.809,422.306,410.357,411.477,166685110.00011,13.035,14.27,12.4401,13.51,88067102,106.67,114.29,105.0001,108.49,5581784.0,349.8,358.86,340.67,341.76,6428655
2022-03-07,426.599,427.343,414.551,414.621,139496999.49307,14.32,14.62,12.77,12.84,89360330,111.13,115.24,107.72,107.88,6240205.0,360.41,361.995,350.2,350.26,5708383
2022-03-04,426.797,428.394,422.97,427.214,115407315.81982,15.27,15.4799,14.42,14.59,76388689,114.1,116.19,108.43,108.94,6227090.0,368.0,374.8186,357.17,361.73,5329180
2022-03-03,435.415,436.049,428.82,430.714,106726176.75547,16.63,16.75,15.61,15.71,47575090,122.0,122.06,111.95,113.11,6211452.0,386.0,386.12,364.65,368.07,6076836
2022-03-02,427.413,434.671,426.619,432.866,119092869.35829,16.5,16.92,16.2903,16.37,43654285,122.25,122.89,114.52,121.61,7224285.0,388.93,389.22,375.21,380.03,5356809
2022-03-01,430.05,432.152,422.206,425.043,139385063.01973,16.97,17.07,16.08,16.29,50513652,128.57,136.0,122.13,122.78,11541560.0,391.6,395.0,383.705,386.24,3290439
